#Group,#Point,#x,#y,#z
1,1,1000,0,0
1,2,999.756,0.052,0
1,3,999.023,0.209,0
1,4,997.802,0.469,0
1,5,996.095,0.832,0
1,6,993.903,1.298,0
1,7,991.228,1.863,0
1,8,988.072,2.528,0
1,9,984.438,3.289,0
1,10,980.33,4.145,0
1,11,975.752,5.092,0
1,12,970.707,6.129,0
1,13,965.201,7.252,0
1,14,959.238,8.458,0
1,15,952.825,9.744,0
1,16,945.966,11.105,0
1,17,938.669,12.538,0
1,18,930.941,14.039,0
1,19,922.788,15.605,0
1,20,914.218,17.23,0
1,21,905.24,18.91,0
1,22,895.862,20.641,0
1,23,886.092,22.419,0
1,24,875.941,24.239,0
1,25,865.417,26.096,0
1,26,854.532,27.985,0
1,27,843.294,29.903,0
1,28,831.716,31.844,0
1,29,819.807,33.804,0
1,30,807.581,35.777,0
1,31,795.047,37.76,0
1,32,782.219,39.747,0
1,33,769.109,41.734,0
1,34,755.73,43.716,0
1,35,742.094,45.689,0
1,36,728.216,47.648,0
1,37,714.107,49.588,0
1,38,699.783,51.505,0
1,39,685.258,53.394,0
1,40,670.545,55.251,0
1,41,655.659,57.071,0
1,42,640.614,58.85,0
1,43,625.426,60.584,0
1,44,610.11,62.268,0
1,45,594.68,63.897,0
1,46,579.153,65.468,0
1,47,563.542,66.977,0
1,48,547.865,68.418,0
1,49,532.136,69.789,0
1,50,516.372,71.085,0
1,51,500.587,72.303,0
1,52,484.799,73.438,0
1,53,469.022,74.486,0
1,54,453.273,75.446,0
1,55,437.567,76.312,0
1,56,421.921,77.082,0
1,57,406.35,77.752,0
1,58,390.796,78.315,0
1,59,375.297,78.743,0
1,60,359.92,79.032,0
1,61,344.68,79.18,0
1,62,329.594,79.186,0
1,63,314.678,79.051,0
1,64,299.948,78.773,0
1,65,285.418,78.355,0
1,66,271.106,77.795,0
1,67,257.025,77.096,0
1,68,243.191,76.259,0
1,69,229.618,75.287,0
1,70,216.321,74.181,0
1,71,203.313,72.945,0
1,72,190.609,71.582,0
1,73,178.222,70.096,0
1,74,166.164,68.49,0
1,75,154.449,66.77,0
1,76,143.089,64.94,0
1,77,132.094,63.005,0
1,78,121.477,60.97,0
1,79,111.248,58.842,0
1,80,101.418,56.625,0
1,81,91.996,54.325,0
1,82,82.992,51.95,0
1,83,74.415,49.504,0
1,84,66.273,46.994,0
1,85,58.573,44.427,0
1,86,51.324,41.808,0
1,87,44.532,39.144,0
1,88,38.203,36.441,0
1,89,32.343,33.704,0
1,90,26.958,30.939,0
1,91,22.051,28.152,0
1,92,17.628,25.348,0
1,93,13.692,22.531,0
1,94,10.245,19.707,0
1,95,7.292,16.878,0
1,96,4.833,14.049,0
1,97,2.87,11.224,0
1,98,1.405,8.404,0
1,99,0.439,5.592,0
1,100,-0.03,2.79,0
