"drag_coefficient-rfile"
"Iteration" "drag_coefficient"
("Iteration" "drag_coefficient")
1 -13.12753
2 -1.981657
3 5.195797
4 -2.018478
5 -3.564627
6 -5.296558
7 -2.520561
8 -2.414877
9 0.2864247
10 1.70333
11 -1.21259
12 0.4442493
13 1.277141
14 0.3473214
15 0.4858839
16 0.1919772
17 0.1491271
18 0.2616658
19 0.196282
20 0.2210201
21 0.213796
22 0.2034781
23 0.1759046
24 0.1670871
25 0.1423541
26 0.1257113
27 0.1050617
28 0.08678335
29 0.07050895
30 0.05523971
31 0.04515392
32 0.03571561
33 0.02925709
34 0.0243935
35 0.02072401
36 0.01827332
37 0.01619157
38 0.014731
39 0.01350741
40 0.01256095
41 0.01180667
42 0.01118518
43 0.01079032
44 0.01049542
45 0.01029514
46 0.01009969
47 0.009944281
48 0.009838334
49 0.00980942
50 0.009841623
51 0.009907657
52 0.009991406
53 0.01007284
54 0.01014689
55 0.01020815
56 0.01025812
57 0.01029684
58 0.01032779
59 0.01035021
60 0.01036924
61 0.01038407
62 0.01039559
63 0.01040595
64 0.01041371
65 0.01042104
66 0.01042678
67 0.0104313
68 0.01043621
69 0.01044041
70 0.0104441
71 0.01044612
72 0.01044874
73 0.01045133
74 0.0104533
75 0.01045536
76 0.01045687
77 0.01045837
78 0.01045949
79 0.01046041
80 0.01046124
81 0.01046185
82 0.0104623
83 0.01046295
84 0.01046338
85 0.01046376
86 0.01046403
87 0.01046427
88 0.01046444
89 0.01046457
90 0.01046472
91 0.01046479
92 0.01046475
93 0.01046467
94 0.01046456
95 0.01046447
96 0.0104644
97 0.01046431
98 0.01046421
99 0.01046407
100 0.01046389
