"lift_coefficient-rfile"
"Iteration" "lift_coefficient"
("Iteration" "lift_coefficient")
1 119.7202
2 99.29126
3 62.8936
4 -78.55229
5 -58.69533
6 -30.07761
7 -22.23169
8 -17.8599
9 -8.164472
10 -6.550989
11 -4.508366
12 -1.547662
13 -4.559565
14 -1.641845
15 -1.374811
16 -1.815502
17 -1.048274
18 -1.314336
19 -0.9514715
20 -0.8617204
21 -0.4609299
22 -0.5069652
23 -0.3325278
24 -0.2368341
25 -0.138942
26 -0.07990492
27 -0.0241429
28 0.008695144
29 0.042761
30 0.06441998
31 0.0859222
32 0.1038703
33 0.1189184
34 0.1332919
35 0.1453066
36 0.1568382
37 0.1663492
38 0.1755367
39 0.1834846
40 0.1909334
41 0.1974218
42 0.2030182
43 0.2076694
44 0.2110187
45 0.2131651
46 0.214071
47 0.214372
48 0.2141
49 0.2135037
50 0.2127583
51 0.2119977
52 0.2113034
53 0.2107153
54 0.2102134
55 0.2098138
56 0.2094612
57 0.2091575
58 0.2089352
59 0.2087108
60 0.2085694
61 0.2084621
62 0.2083693
63 0.2082853
64 0.2082039
65 0.208157
66 0.2080887
67 0.2080358
68 0.2079878
69 0.2079216
70 0.2078763
71 0.2078392
72 0.2078005
73 0.207764
74 0.2077337
75 0.2077061
76 0.2076818
77 0.2076631
78 0.2076464
79 0.2076294
80 0.2076139
81 0.207597
82 0.2075838
83 0.2075721
84 0.2075609
85 0.2075514
86 0.2075425
87 0.2075343
88 0.2075268
89 0.20752
90 0.2075148
91 0.2075104
92 0.2075067
93 0.2075036
94 0.2075002
95 0.2074968
96 0.2074932
97 0.2074901
98 0.2074875
99 0.2074855
100 0.2074845
